ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 09/12/2024 19:06

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
70,LIMA,2018,12,LM180675071,"PAGOS, FECHA Y NRO RD. - F",26/12/2018 8:48,14/01/2019 10:50,,,,APROBADO
71,LIMA,2018,12,LM180671065,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 15:58,10/01/2019 10:35,,,,APROBADO
72,LIMA,2018,12,LM180670266,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 12:11,21/01/2019 19:17,,,,APROBADO
73,LIMA,2018,12,LM180670218,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 11:55,10/01/2019 10:35,,,,APROBADO
74,LIMA,2018,12,LM180669904,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 10:40,10/01/2019 10:34,,,,APROBADO
75,LIMA,2018,12,LM180669360,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 8:15,10/01/2019 10:34,,,,APROBADO
76,LIMA,2018,12,LM180666800,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 11:19,15/07/2019 16:37,,,,APROBADO
77,LIMA,2018,12,LM180666766,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 11:12,15/07/2019 16:16,,,,APROBADO
78,LIMA,2018,12,LM180666745,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 11:08,10/01/2019 10:43,,,,APROBADO
79,LIMA,2018,12,LM180666628,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 10:45,21/01/2019 19:17,,,,APROBADO
80,LIMA,2018,12,LM180666582,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 10:37,10/01/2019 10:43,,,,APROBADO
81,LIMA,2018,12,LM180666043,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 8:53,10/01/2019 10:42,,,,APROBADO
82,LIMA,2018,12,LM180666040,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 8:52,10/01/2019 10:41,,,,APROBADO
83,LIMA,2018,12,LM180666007,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 8:44,10/01/2019 10:33,,,,APROBADO
84,LIMA,2018,12,LM180666002,"PAGOS, FECHA Y NRO RD. - F",20/12/2018 8:43,10/01/2019 10:28,,,,APROBADO
85,LIMA,2018,12,LM180664484,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 16:06,10/01/2019 10:55,,,,APROBADO
86,LIMA,2018,12,LM180663877,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 13:26,10/01/2019 10:54,,,,APROBADO
87,LIMA,2018,12,LM180663846,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 13:18,10/01/2019 10:53,,,,APROBADO
88,LIMA,2018,12,LM180663423,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:33,10/01/2019 10:49,,,,APROBADO
89,LIMA,2018,12,LM180663413,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:31,10/01/2019 10:49,,,,APROBADO
90,LIMA,2018,12,LM180663407,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:29,10/01/2019 10:52,,,,APROBADO
91,LIMA,2018,12,LM180663347,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:16,10/01/2019 10:48,,,,APROBADO
92,LIMA,2018,12,LM180663336,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:14,10/01/2019 10:48,,,,APROBADO
93,LIMA,2018,12,LM180663315,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 11:12,10/01/2019 10:47,,,,APROBADO
94,LIMA,2018,12,LM180663177,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 10:42,10/01/2019 15:35,,,,APROBADO
95,LIMA,2018,12,LM180663167,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 10:40,10/01/2019 10:55,,,,APROBADO
96,LIMA,2018,12,LM180662734,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 8:48,10/01/2019 10:40,,,,APROBADO
97,LIMA,2018,12,LM180662726,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 8:46,10/01/2019 10:40,,,,APROBADO
98,LIMA,2018,12,LM180662605,"PAGOS, FECHA Y NRO RD. - F",19/12/2018 8:17,10/01/2019 10:39,,,,APROBADO
99,LIMA,2018,12,LM180660326,"PAGOS, FECHA Y NRO RD. - F",18/12/2018 12:22,10/01/2019 15:41,,,,APROBADO
100,LIMA,2018,12,LM180660161,"PAGOS, FECHA Y NRO RD. - F",18/12/2018 11:39,10/01/2019 15:40,,,,APROBADO
101,LIMA,2018,12,LM180659618,"PAGOS, FECHA Y NRO RD. - F",18/12/2018 9:37,10/01/2019 15:39,,,,APROBADO
102,LIMA,2018,12,LM180658247,"PAGOS, FECHA Y NRO RD. - F",17/12/2018 17:49,10/01/2019 15:38,,,,APROBADO
103,LIMA,2018,12,LM180658230,"PAGOS, FECHA Y NRO RD. - F",17/12/2018 17:44,10/01/2019 15:38,,,,APROBADO
104,LIMA,2018,12,LM180658099,"PAGOS, FECHA Y NRO RD. - F",17/12/2018 17:01,10/01/2019 10:59,,,,APROBADO
105,LIMA,2018,12,LM180657493,"PAGOS, FECHA Y NRO RD. - F",17/12/2018 14:33,10/01/2019 10:59,,,,APROBADO
