ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 05/12/2024 10:54

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
92,LIMA,2018,6,LM180186280,CONFORMIDAD DIREC.INMGRACION. - I,04/06/2018 9:08,23/08/2018 17:29,,,,DENEGADO
93,LIMA,2018,6,LM180183572,CONFORMIDAD DIREC.INMGRACION. - I,01/06/2018 8:56,06/07/2018 8:56,,,,DENEGADO
94,LIMA,2018,6,LM180183569,CONFORMIDAD DIREC.INMGRACION. - I,01/06/2018 8:53,06/07/2018 8:56,,,,DENEGADO
95,LIMA,2018,5,LM180182045,CONFORMIDAD DIREC.INMGRACION. - I,31/05/2018 12:51,23/08/2018 17:29,,,,DENEGADO
96,LIMA,2018,5,LM180178051,CONFORMIDAD DIREC.INMGRACION. - I,29/05/2018 12:30,10/08/2018 12:39,,,,DENEGADO
97,LIMA,2018,5,LM180176978,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2018 15:41,04/10/2018 12:13,,,,DENEGADO
98,LIMA,2018,5,LM180176001,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2018 10:42,18/12/2018 12:16,,,,DENEGADO
99,LIMA,2018,5,LM180175563,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2018 8:30,12/09/2018 16:37,,,,DENEGADO
100,LIMA,2018,5,LM180168875,CONFORMIDAD DIREC.INMGRACION. - F,22/05/2018 10:33,21/07/2018 17:25,,,,DENEGADO
101,LIMA,2018,5,LM180167459,CONFORMIDAD DIREC.INMGRACION. - I,21/05/2018 11:51,28/08/2018 16:26,,,,DENEGADO
102,LIMA,2018,5,LM180163591,CONFORMIDAD DIREC.INMGRACION. - I,17/05/2018 11:31,06/11/2018 16:36,,,,DENEGADO
103,LIMA,2018,5,LM180161542,CONFORMIDAD DIREC.INMGRACION. - I,16/05/2018 9:47,21/06/2018 17:18,,,,DENEGADO
104,LIMA,2018,5,LM180156813,CONFORMIDAD DIREC.INMGRACION. - I,11/05/2018 13:11,11/06/2018 18:19,,,,DENEGADO
105,LIMA,2018,5,LM180143961,CONFORMIDAD DIREC.INMGRACION. - I,02/05/2018 10:09,06/07/2018 8:50,,,,DENEGADO
106,LIMA,2018,4,LM180139756,CONFORMIDAD DIREC.INMGRACION. - I,27/04/2018 8:56,12/06/2018 17:24,,,,DENEGADO
107,LIMA,2018,4,LM180134526,CONFORMIDAD DIREC.INMGRACION. - I,24/04/2018 8:51,05/11/2018 16:52,,,,DENEGADO
108,LIMA,2018,4,LM180132838,CONFORMIDAD DIREC.INMGRACION. - I,23/04/2018 10:04,01/08/2018 20:32,,,,DENEGADO
109,LIMA,2018,4,LM180124590,CONFORMIDAD DIREC.INMGRACION. - I,16/04/2018 15:27,20/07/2018 18:49,,,,DENEGADO
110,LIMA,2018,4,LM180124039,CONFORMIDAD DIREC.INMGRACION. - I,16/04/2018 12:53,18/06/2018 20:23,,,,DENEGADO
111,LIMA,2018,4,LM180121250,CONFORMIDAD DIREC.INMGRACION. - I,12/04/2018 8:20,21/06/2018 17:19,,,,DENEGADO
112,LIMA,2018,4,LM180119538,CONFORMIDAD DIREC.INMGRACION. - I,11/04/2018 8:09,04/06/2018 18:38,,,,DENEGADO
113,LIMA,2018,4,LM180118748,CONFORMIDAD DIREC.INMGRACION. - I,10/04/2018 12:19,20/01/2020 17:42,,,,DENEGADO
114,LIMA,2018,4,LM180116710,CONFORMIDAD DIREC.INMGRACION. - I,09/04/2018 10:48,30/05/2018 16:25,,,,DENEGADO
115,LIMA,2018,4,LM180114811,CONFORMIDAD DIREC.INMGRACION. - I,06/04/2018 11:45,18/06/2018 21:52,,,,DENEGADO
116,LIMA,2018,3,LM180106435,CONFORMIDAD DIREC.INMGRACION. - I,28/03/2018 12:45,14/05/2018 17:36,,,,DENEGADO
117,LIMA,2018,3,LM180100288,CONFORMIDAD DIREC.INMGRACION. - I,23/03/2018 10:14,10/05/2018 18:41,,,,DENEGADO
118,LIMA,2018,3,LM180097479,CONFORMIDAD DIREC.INMGRACION. - I,21/03/2018 12:10,25/04/2018 11:07,,,,DENEGADO
119,LIMA,2018,3,LM180093883,CONFORMIDAD DIREC.INMGRACION. - I,19/03/2018 11:02,22/05/2018 17:24,,,,DENEGADO
120,LIMA,2018,3,LM180093775,CONFORMIDAD DIREC.INMGRACION. - I,19/03/2018 10:33,23/05/2018 9:43,,,,DENEGADO
121,LIMA,2018,3,LM180085273,CONFORMIDAD DIREC.INMGRACION. - I,12/03/2018 11:53,08/05/2018 11:49,,,,DENEGADO
122,LIMA,2018,3,LM180082643,CONFORMIDAD DIREC.INMGRACION. - I,09/03/2018 8:58,03/05/2018 19:06,,,,DENEGADO
123,LIMA,2018,3,LM180072220,CONFORMIDAD DIREC.INMGRACION. - I,01/03/2018 10:26,20/07/2018 19:04,,,,DENEGADO
124,LIMA,2018,2,LM180071756,CONFORMIDAD DIREC.INMGRACION. - I,28/02/2018 17:14,12/04/2018 19:11,,,,DENEGADO
125,LIMA,2018,2,LM180063290,CONFORMIDAD DIREC.INMGRACION. - I,22/02/2018 9:03,19/04/2018 8:25,,,,DENEGADO
126,LIMA,2018,2,LM180056634,CONFORMIDAD DIREC.INMGRACION. - I,16/02/2018 12:09,02/05/2018 15:46,,,,DENEGADO
127,LIMA,2018,2,LM180049812,CONFORMIDAD DIREC.INMGRACION. - I,12/02/2018 11:14,15/08/2018 11:59,,,,DENEGADO
128,LIMA,2018,2,LM180048154,CONFORMIDAD DIREC.INMGRACION. - I,09/02/2018 13:32,11/04/2018 10:48,,,,DENEGADO
129,LIMA,2018,2,LM180044569,CONFORMIDAD DIREC.INMGRACION. - I,07/02/2018 11:48,03/07/2018 17:07,,,,DENEGADO
