ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
74,LIMA,2019,6,LM190207561,EVALUACIÓN - F,07/06/2019 12:14,06/12/2019 11:55,,,,DESISTIDO
75,LIMA,2019,6,LM190207538,EVALUACIÓN - F,07/06/2019 12:02,07/01/2020 7:54,,,,DESISTIDO
76,LIMA,2019,6,LM190204452,EVALUACIÓN - F,04/06/2019 9:10,27/11/2019 14:51,,,,DESISTIDO
77,LIMA,2019,5,LM190199959,EVALUACIÓN - F,28/05/2019 12:05,13/09/2019 17:07,,,,DESISTIDO
78,LIMA,2019,4,LM190133040,EVALUACIÓN - F,29/04/2019 11:09,12/07/2019 13:09,,,,DESISTIDO
79,LIMA,2019,4,LM190115067,EVALUACIÓN - F,05/04/2019 12:08,13/06/2019 11:49,,,,DESISTIDO
80,LIMA,2019,4,LM190115055,EVALUACIÓN - F,05/04/2019 12:05,13/06/2019 11:51,,,,DESISTIDO
81,LIMA,2019,3,LM190099547,EVALUACIÓN - F,20/03/2019 9:54,26/12/2019 10:01,,,,DESISTIDO
82,LIMA,2019,3,LM190097451,EVALUACIÓN - F,18/03/2019 11:26,12/04/2019 16:09,,,,DESISTIDO
83,LIMA,2019,2,LM190062913,EVALUACIÓN - F,12/02/2019 10:22,01/10/2019 16:22,,,,DESISTIDO
84,LIMA,2019,1,LM190041953,EVALUACIÓN - F,25/01/2019 12:02,04/03/2019 12:44,,,,DESISTIDO
85,LIMA,2019,1,LM190016733,EVALUACIÓN - F,14/01/2019 16:19,28/02/2019 12:13,,,,DESISTIDO
86,LIMA,2019,1,LM190015072,EVALUACIÓN - F,14/01/2019 8:35,01/04/2019 7:35,,,,DESISTIDO
87,LIMA,2019,1,LM190007001,EVALUACIÓN - F,07/01/2019 15:29,06/12/2019 11:56,,,,DESISTIDO
88,LIMA,2019,1,LM190001815,EVALUACIÓN - F,03/01/2019 10:18,09/03/2019 8:29,,,,DESISTIDO
89,LIMA,2019,1,LM190001805,EVALUACIÓN - F,03/01/2019 10:16,09/03/2019 8:30,,,,DESISTIDO
90,LIMA NORTE,2019,11,LO190017022,EVALUACIÓN - F,11/11/2019 16:00,22/02/2020 8:07,,,,DESISTIDO
91,LIMA NORTE,2019,11,LO190017019,EVALUACIÓN - F,11/11/2019 15:50,22/02/2020 8:14,,,,DESISTIDO
92,LIMA NORTE,2019,10,LO190016151,EVALUACIÓN - F,30/10/2019 13:13,13/03/2020 16:49,,,,DESISTIDO
93,LIMA NORTE,2019,9,LO190013144,EVALUACIÓN - F,27/09/2019 9:12,10/03/2020 5:38,,,,DESISTIDO
94,LIMA NORTE,2019,9,LO190013143,EVALUACIÓN - F,27/09/2019 9:11,10/03/2020 5:31,,,,DESISTIDO
95,LIMA NORTE,2019,8,LO190010249,EVALUACIÓN - F,21/08/2019 13:13,17/10/2019 12:19,,,,DESISTIDO
96,LIMA SUR,2019,7,LS190005782,EVALUACIÓN - F,31/07/2019 14:33,07/08/2019 15:17,,,,DESISTIDO
97,MIRAFLORES,2019,12,MR190250859,EVALUACIÓN - F,27/12/2019 16:25,05/03/2020 14:00,,,,DESISTIDO
98,MIRAFLORES,2019,12,MR190250023,EVALUACIÓN - F,26/12/2019 18:03,05/03/2020 11:58,,,,DESISTIDO
99,MIRAFLORES,2019,12,MR190249956,EVALUACIÓN - F,26/12/2019 17:10,05/03/2020 13:54,,,,DESISTIDO
100,MIRAFLORES,2019,12,MR190249916,EVALUACIÓN - F,26/12/2019 16:38,03/08/2020 18:54,,,,DESISTIDO
101,MIRAFLORES,2019,12,MR190237708,EVALUACIÓN - F,11/12/2019 8:19,03/08/2020 19:06,,,,DESISTIDO
102,MIRAFLORES,2019,12,MR190236778,EVALUACIÓN - F,10/12/2019 8:17,04/08/2020 17:18,,,,DESISTIDO
103,MIRAFLORES,2019,12,MR190232923,EVALUACIÓN - F,04/12/2019 14:34,30/01/2020 6:34,,,,DESISTIDO
104,MIRAFLORES,2019,12,MR190231571,EVALUACIÓN - F,03/12/2019 8:39,05/03/2020 23:09,,,,DESISTIDO
105,MIRAFLORES,2019,11,MR190216713,EVALUACIÓN - F,13/11/2019 8:26,21/02/2020 10:40,,,,DESISTIDO
106,MIRAFLORES,2019,11,MR190215748,EVALUACIÓN - F,12/11/2019 8:22,23/01/2020 14:21,,,,DESISTIDO
107,MIRAFLORES,2019,11,MR190215448,EVALUACIÓN - F,11/11/2019 16:07,28/01/2020 11:30,,,,DESISTIDO
108,MIRAFLORES,2019,11,MR190214917,EVALUACIÓN - F,11/11/2019 9:08,13/01/2020 9:14,,,,DESISTIDO
109,MIRAFLORES,2019,11,MR190214904,EVALUACIÓN - F,11/11/2019 8:59,13/01/2020 9:15,,,,DESISTIDO
110,MIRAFLORES,2019,11,MR190213108,EVALUACIÓN - F,07/11/2019 16:28,23/12/2019 8:13,,,,DESISTIDO
111,MIRAFLORES,2019,10,MR190208625,EVALUACIÓN - F,30/10/2019 13:11,09/01/2020 11:44,,,,DESISTIDO
112,MIRAFLORES,2019,10,MR190207481,EVALUACIÓN - F,29/10/2019 11:06,27/02/2020 23:16,,,,DESISTIDO
113,MIRAFLORES,2019,10,MR190206298,EVALUACIÓN - F,26/10/2019 16:56,27/01/2020 12:29,,,,DESISTIDO
114,MIRAFLORES,2019,10,MR190202822,EVALUACIÓN - F,22/10/2019 13:46,06/02/2020 11:27,,,,DESISTIDO
115,MIRAFLORES,2019,10,MR190201953,EVALUACIÓN - F,21/10/2019 12:00,14/10/2021 17:48,,,,DESISTIDO
116,MIRAFLORES,2019,10,MR190200791,EVALUACIÓN - F,18/10/2019 8:29,16/12/2019 14:39,,,,DESISTIDO
117,MIRAFLORES,2019,10,MR190198716,EVALUACIÓN - F,15/10/2019 8:32,07/01/2020 12:13,,,,DESISTIDO
118,MIRAFLORES,2019,10,MR190197019,EVALUACIÓN - F,11/10/2019 11:37,05/02/2020 14:45,,,,DESISTIDO
119,MIRAFLORES,2019,10,MR190197017,EVALUACIÓN - F,11/10/2019 11:33,05/02/2020 14:48,,,,DESISTIDO
120,MIRAFLORES,2019,10,MR190196653,EVALUACIÓN - F,10/10/2019 17:47,15/01/2020 21:47,,,,DESISTIDO
121,MIRAFLORES,2019,10,MR190193033,EVALUACIÓN - F,04/10/2019 14:41,27/01/2020 12:11,,,,DESISTIDO
122,MIRAFLORES,2019,9,MR190186966,EVALUACIÓN - F,26/09/2019 18:04,28/11/2019 14:07,,,,DESISTIDO
123,MIRAFLORES,2019,9,MR190177606,EVALUACIÓN - F,13/09/2019 18:33,20/11/2019 14:54,,,,DESISTIDO
124,MIRAFLORES,2019,9,MR190176877,EVALUACIÓN - F,13/09/2019 9:29,06/12/2019 15:09,,,,DESISTIDO
125,MIRAFLORES,2019,9,MR190173212,EVALUACIÓN - F,09/09/2019 10:39,01/02/2020 6:42,,,,DESISTIDO
126,MIRAFLORES,2019,9,MR190169418,EVALUACIÓN - F,04/09/2019 8:33,27/11/2019 14:14,,,,DESISTIDO
127,MIRAFLORES,2019,8,MR190166282,EVALUACIÓN - F,28/08/2019 15:12,05/11/2019 10:25,,,,DESISTIDO
128,MIRAFLORES,2019,8,MR190164649,EVALUACIÓN - F,26/08/2019 18:20,04/12/2019 14:04,,,,DESISTIDO
129,MIRAFLORES,2019,8,MR190161404,EVALUACIÓN - F,22/08/2019 9:23,22/02/2020 4:16,,,,DESISTIDO
130,MIRAFLORES,2019,8,MR190161396,EVALUACIÓN - F,22/08/2019 9:17,03/10/2019 15:33,,,,DESISTIDO
131,MIRAFLORES,2019,8,MR190160003,EVALUACIÓN - F,20/08/2019 15:16,27/11/2019 8:47,,,,DESISTIDO
132,MIRAFLORES,2019,8,MR190153960,EVALUACIÓN - F,12/08/2019 18:59,28/10/2019 14:54,,,,DESISTIDO
133,MIRAFLORES,2019,8,MR190147631,EVALUACIÓN - F,05/08/2019 8:10,20/11/2019 14:48,,,,DESISTIDO
134,MIRAFLORES,2019,7,MR190144752,EVALUACIÓN - F,31/07/2019 16:27,28/10/2019 14:55,,,,DESISTIDO
135,MIRAFLORES,2019,7,MR190143964,EVALUACIÓN - F,26/07/2019 10:48,20/12/2019 17:54,,,,DESISTIDO
136,MIRAFLORES,2019,7,MR190143547,EVALUACIÓN - F,25/07/2019 17:34,06/09/2019 15:33,,,,DESISTIDO
137,MIRAFLORES,2019,7,MR190141348,EVALUACIÓN - F,23/07/2019 17:04,30/10/2019 7:50,,,,DESISTIDO
138,MIRAFLORES,2019,7,MR190141041,EVALUACIÓN - F,23/07/2019 11:14,28/11/2019 12:51,,,,DESISTIDO
139,MIRAFLORES,2019,7,MR190141037,EVALUACIÓN - F,23/07/2019 11:05,26/11/2019 12:30,,,,DESISTIDO
140,MIRAFLORES,2019,7,MR190139831,EVALUACIÓN - F,20/07/2019 16:49,10/03/2020 4:03,,,,DESISTIDO
